tau,u_tau,y_tau
1,1,1
2,1,2.4
3,1,3.86
4,1,5.174
5,1,6.3566
6,1,7.42094
7,1,8.37885
8,1,9.24096
9,1,10.0169
10,1,10.7152
11,1,11.3437
12,1,11.9093
13,1,12.4184
14,1,12.8765
15,1,13.2889
16,1,13.66
17,1,13.994
18,1,14.2946
19,1,14.5651
20,1,14.8086
