tau,u_tau,y_tau
1,1,1
2,1,0.9
3,1,0.81
4,1,0.729
5,1,0.6561
6,1,0.59049
7,1,0.531441
8,1,0.478297
9,1,0.430467
10,1,0.38742
11,1,0.348678
12,1,0.313811
13,1,0.28243
14,1,0.254187
15,1,0.228768
16,1,0.205891
17,1,0.185302
18,1,0.166772
19,1,0.150095
20,1,0.135085
